crop,region,month,price_php_per_kg
Tomato,Mindanao,2023-06,55.08
Tomato,Luzon-North,2023-07,63.29
Tomato,Luzon-Central,2023-07,57.8
Tomato,Luzon-South,2023-07,67.69
Tomato,Visayas,2023-07,66.13
Tomato,Mindanao,2023-07,58.62
Tomato,Luzon-North,2023-08,60.22
Tomato,Luzon-Central,2023-08,62.87
Tomato,Luzon-South,2023-08,61.89
Tomato,Visayas,2023-08,62.45
Tomato,Mindanao,2023-08,58.96
Tomato,Luzon-North,2023-09,62.8
Tomato,Luzon-Central,2023-09,63.65
Tomato,Luzon-South,2023-09,76.8
Tomato,Visayas,2023-09,68.07
Tomato,Mindanao,2023-09,59.25
Tomato,Luzon-North,2023-10,64.27
Tomato,Luzon-Central,2023-10,62.58
Tomato,Luzon-South,2023-10,66.21
Tomato,Visayas,2023-10,68.0
Tomato,Mindanao,2023-10,61.25
Tomato,Luzon-North,2023-11,61.85
Tomato,Luzon-Central,2023-11,54.88
Tomato,Luzon-South,2023-11,63.05
Tomato,Visayas,2023-11,65.22
Tomato,Mindanao,2023-11,53.11
Tomato,Luzon-North,2023-12,60.07
Tomato,Luzon-Central,2023-12,54.48
Tomato,Luzon-South,2023-12,65.29
Tomato,Visayas,2023-12,64.66
Tomato,Mindanao,2023-12,55.39
Tomato,Luzon-North,2024-01,57.74
Tomato,Luzon-Central,2024-01,56.78
Tomato,Luzon-South,2024-01,56.23
Tomato,Visayas,2024-01,60.62
Tomato,Mindanao,2024-01,56.33
Tomato,Luzon-North,2024-02,53.34
Tomato,Luzon-Central,2024-02,59.73
Tomato,Luzon-South,2024-02,57.2
Tomato,Visayas,2024-02,66.91
Tomato,Mindanao,2024-02,53.17
Tomato,Luzon-North,2024-03,60.34
Tomato,Luzon-Central,2024-03,56.12
Tomato,Luzon-South,2024-03,56.3
Tomato,Visayas,2024-03,66.65
Tomato,Mindanao,2024-03,57.91
Tomato,Luzon-North,2024-04,57.49
Tomato,Luzon-Central,2024-04,54.61
Tomato,Luzon-South,2024-04,60.08
Tomato,Visayas,2024-04,59.25
Tomato,Mindanao,2024-04,56.58
Tomato,Luzon-North,2024-05,57.46
Tomato,Luzon-Central,2024-05,56.56
Tomato,Luzon-South,2024-05,59.56
Tomato,Visayas,2024-05,61.8
Tomato,Mindanao,2024-05,51.42
Tomato,Luzon-North,2024-06,65.56
Tomato,Luzon-Central,2024-06,58.76
Tomato,Luzon-South,2024-06,67.9
Tomato,Visayas,2024-06,66.66
Tomato,Mindanao,2024-06,55.37
Tomato,Luzon-North,2024-07,62.66
Tomato,Luzon-Central,2024-07,59.44
Tomato,Luzon-South,2024-07,66.92
Tomato,Visayas,2024-07,67.51
Tomato,Mindanao,2024-07,58.36
Tomato,Luzon-North,2024-08,62.34
Tomato,Luzon-Central,2024-08,61.69
Tomato,Luzon-South,2024-08,76.12
Tomato,Visayas,2024-08,69.89
Tomato,Mindanao,2024-08,58.99
Tomato,Luzon-North,2024-09,69.56
Tomato,Luzon-Central,2024-09,70.29
Tomato,Luzon-South,2024-09,66.6
Tomato,Visayas,2024-09,73.11
Tomato,Mindanao,2024-09,61.61
Tomato,Luzon-North,2024-10,60.35
Tomato,Luzon-Central,2024-10,65.86
Tomato,Luzon-South,2024-10,69.4
Tomato,Visayas,2024-10,71.72
Tomato,Mindanao,2024-10,59.23
Tomato,Luzon-North,2024-11,64.13
Tomato,Luzon-Central,2024-11,58.58
Tomato,Luzon-South,2024-11,65.37
Tomato,Visayas,2024-11,63.97
Tomato,Mindanao,2024-11,54.77
Tomato,Luzon-North,2024-12,65.8
Tomato,Luzon-Central,2024-12,57.71
Tomato,Luzon-South,2024-12,65.71
Tomato,Visayas,2024-12,66.5
Tomato,Mindanao,2024-12,56.09
Tomato,Luzon-North,2025-01,60.31
Tomato,Luzon-Central,2025-01,61.28
Tomato,Luzon-South,2025-01,64.0
Tomato,Visayas,2025-01,66.33
Tomato,Mindanao,2025-01,57.62
Tomato,Luzon-North,2025-02,65.74
Tomato,Luzon-Central,2025-02,61.63
Tomato,Luzon-South,2025-02,66.44
Tomato,Visayas,2025-02,65.17
Tomato,Mindanao,2025-02,53.75
Tomato,Luzon-North,2025-03,63.28
Tomato,Luzon-Central,2025-03,60.79
Tomato,Luzon-South,2025-03,62.98
Tomato,Visayas,2025-03,67.01
Tomato,Mindanao,2025-03,58.38
Tomato,Luzon-North,2025-04,62.48
Tomato,Luzon-Central,2025-04,60.24
Tomato,Luzon-South,2025-04,61.55
Tomato,Visayas,2025-04,69.69
Tomato,Mindanao,2025-04,52.31
Tomato,Luzon-North,2025-05,64.08
Tomato,Luzon-Central,2025-05,60.43
Tomato,Luzon-South,2025-05,67.32
Tomato,Visayas,2025-05,72.58
Tomato,Mindanao,2025-05,61.37
Tomato,Luzon-North,2025-06,60.48
Tomato,Luzon-Central,2025-06,56.39
Tomato,Luzon-South,2025-06,70.11
Tomato,Visayas,2025-06,65.77
Tomato,Mindanao,2025-06,59.63
Tomato,Luzon-North,2025-07,69.04
Tomato,Luzon-Central,2025-07,58.38
Tomato,Luzon-South,2025-07,62.23
Tomato,Visayas,2025-07,72.48
Tomato,Mindanao,2025-07,61.75
Tomato,Luzon-North,2025-08,68.79
Tomato,Luzon-Central,2025-08,66.98
Tomato,Luzon-South,2025-08,69.98
Tomato,Visayas,2025-08,69.52
Tomato,Mindanao,2025-08,64.23
Tomato,Luzon-North,2025-09,67.69
Tomato,Luzon-Central,2025-09,62.69
Tomato,Luzon-South,2025-09,76.59
Tomato,Visayas,2025-09,76.6
Tomato,Mindanao,2025-09,67.51
Tomato,Luzon-North,2025-10,65.42
Tomato,Luzon-Central,2025-10,63.9
Tomato,Luzon-South,2025-10,68.66
Tomato,Visayas,2025-10,71.04
Tomato,Mindanao,2025-10,64.63
Tomato,Luzon-North,2025-11,62.67
Tomato,Luzon-Central,2025-11,63.73
Tomato,Luzon-South,2025-11,69.64
Tomato,Visayas,2025-11,77.57
Tomato,Mindanao,2025-11,56.43
Tomato,Luzon-North,2025-12,66.99
Tomato,Luzon-Central,2025-12,61.31
Tomato,Luzon-South,2025-12,67.31
Tomato,Visayas,2025-12,64.26
Tomato,Mindanao,2025-12,58.28
Tomato,Luzon-North,2026-01,66.75
Tomato,Luzon-Central,2026-01,61.53
Tomato,Luzon-South,2026-01,67.85
Tomato,Visayas,2026-01,68.5
Tomato,Mindanao,2026-01,63.31
Tomato,Luzon-North,2026-02,64.51
Tomato,Luzon-Central,2026-02,55.17
Tomato,Luzon-South,2026-02,65.46
Tomato,Visayas,2026-02,62.88
Tomato,Mindanao,2026-02,50.29
Tomato,Luzon-North,2026-03,61.16
Tomato,Luzon-Central,2026-03,64.34
Tomato,Luzon-South,2026-03,66.12
Tomato,Visayas,2026-03,63.88
Tomato,Mindanao,2026-03,55.68
Tomato,Luzon-North,2026-04,65.91
Tomato,Luzon-Central,2026-04,60.36
Tomato,Luzon-South,2026-04,65.66
Tomato,Visayas,2026-04,67.2
Tomato,Mindanao,2026-04,58.13
Eggplant,Luzon-North,2022-01,43.16
Eggplant,Luzon-Central,2022-01,40.75
Eggplant,Luzon-South,2022-01,41.8
Eggplant,Visayas,2022-01,46.52
Eggplant,Mindanao,2022-01,37.72
Eggplant,Luzon-North,2022-02,44.56
Eggplant,Luzon-Central,2022-02,37.98
Eggplant,Luzon-South,2022-02,44.06
Eggplant,Visayas,2022-02,45.61
Eggplant,Mindanao,2022-02,36.69
Eggplant,Luzon-North,2022-03,44.75
Eggplant,Luzon-Central,2022-03,42.44
Eggplant,Luzon-South,2022-03,42.26
Eggplant,Visayas,2022-03,46.21
Eggplant,Mindanao,2022-03,39.04
Eggplant,Luzon-North,2022-04,35.66
Eggplant,Luzon-Central,2022-04,39.87
Eggplant,Luzon-South,2022-04,42.94
Eggplant,Visayas,2022-04,44.49
Eggplant,Mindanao,2022-04,36.09
Eggplant,Luzon-North,2022-05,41.55
Eggplant,Luzon-Central,2022-05,40.07
Eggplant,Luzon-South,2022-05,46.85
Eggplant,Visayas,2022-05,46.24
Eggplant,Mindanao,2022-05,39.16
Eggplant,Luzon-North,2022-06,47.46
Eggplant,Luzon-Central,2022-06,41.15
Eggplant,Luzon-South,2022-06,45.4
Eggplant,Visayas,2022-06,43.3
Eggplant,Mindanao,2022-06,44.22
Eggplant,Luzon-North,2022-07,47.85
Eggplant,Luzon-Central,2022-07,45.83
Eggplant,Luzon-South,2022-07,49.54
Eggplant,Visayas,2022-07,49.58
Eggplant,Mindanao,2022-07,42.91
Eggplant,Luzon-North,2022-08,47.5
Eggplant,Luzon-Central,2022-08,45.71
Eggplant,Luzon-South,2022-08,50.65
Eggplant,Visayas,2022-08,55.89
Eggplant,Mindanao,2022-08,45.98
Eggplant,Luzon-North,2022-09,49.13
Eggplant,Luzon-Central,2022-09,45.93
Eggplant,Luzon-South,2022-09,50.1
Eggplant,Visayas,2022-09,57.48
Eggplant,Mindanao,2022-09,46.99
Eggplant,Luzon-North,2022-10,47.95
Eggplant,Luzon-Central,2022-10,45.08
Eggplant,Luzon-South,2022-10,47.4
Eggplant,Visayas,2022-10,51.44
Eggplant,Mindanao,2022-10,46.38
Eggplant,Luzon-North,2022-11,44.51
Eggplant,Luzon-Central,2022-11,43.09
Eggplant,Luzon-South,2022-11,47.14
Eggplant,Visayas,2022-11,49.3
Eggplant,Mindanao,2022-11,38.86
Eggplant,Luzon-North,2022-12,44.24
Eggplant,Luzon-Central,2022-12,41.14
Eggplant,Luzon-South,2022-12,49.08
Eggplant,Visayas,2022-12,46.49
Eggplant,Mindanao,2022-12,42.83
Eggplant,Luzon-North,2023-01,48.47
Eggplant,Luzon-Central,2023-01,42.55
Eggplant,Luzon-South,2023-01,45.86
Eggplant,Visayas,2023-01,49.1
Eggplant,Mindanao,2023-01,41.88
Eggplant,Luzon-North,2023-02,43.05
Eggplant,Luzon-Central,2023-02,44.49
Eggplant,Luzon-South,2023-02,52.36
Eggplant,Visayas,2023-02,48.29
Eggplant,Mindanao,2023-02,41.7
Eggplant,Luzon-North,2023-03,41.87
Eggplant,Luzon-Central,2023-03,43.09
Eggplant,Luzon-South,2023-03,43.49
Eggplant,Visayas,2023-03,45.07
Eggplant,Mindanao,2023-03,43.71
Eggplant,Luzon-North,2023-04,41.99
Eggplant,Luzon-Central,2023-04,44.51
Eggplant,Luzon-South,2023-04,49.7
Eggplant,Visayas,2023-04,48.12
Eggplant,Mindanao,2023-04,42.03
Eggplant,Luzon-North,2023-05,49.56
Eggplant,Luzon-Central,2023-05,42.92
Eggplant,Luzon-South,2023-05,46.01
Eggplant,Visayas,2023-05,45.47
Eggplant,Mindanao,2023-05,42.08
Eggplant,Luzon-North,2023-06,50.77
Eggplant,Luzon-Central,2023-06,47.56
Eggplant,Luzon-South,2023-06,47.3
Eggplant,Visayas,2023-06,48.88
Eggplant,Mindanao,2023-06,42.86
Eggplant,Luzon-North,2023-07,49.66
Eggplant,Luzon-Central,2023-07,46.51
Eggplant,Luzon-South,2023-07,51.95
Eggplant,Visayas,2023-07,53.65
Eggplant,Mindanao,2023-07,44.84
Eggplant,Luzon-North,2023-08,51.48
Eggplant,Luzon-Central,2023-08,50.03
Eggplant,Luzon-South,2023-08,53.94
Eggplant,Visayas,2023-08,57.11
Eggplant,Mindanao,2023-08,52.46
Eggplant,Luzon-North,2023-09,54.4
Eggplant,Luzon-Central,2023-09,50.86
Eggplant,Luzon-South,2023-09,50.8
Eggplant,Visayas,2023-09,58.17
Eggplant,Mindanao,2023-09,44.35
Eggplant,Luzon-North,2023-10,47.63
Eggplant,Luzon-Central,2023-10,51.29
Eggplant,Luzon-South,2023-10,55.7
Eggplant,Visayas,2023-10,54.92
Eggplant,Mindanao,2023-10,43.58
Eggplant,Luzon-North,2023-11,47.78
Eggplant,Luzon-Central,2023-11,45.15
Eggplant,Luzon-South,2023-11,52.74
Eggplant,Visayas,2023-11,58.51
Eggplant,Mindanao,2023-11,45.76
Eggplant,Luzon-North,2023-12,46.13
Eggplant,Luzon-Central,2023-12,43.38
Eggplant,Luzon-South,2023-12,50.26
Eggplant,Visayas,2023-12,51.38
Eggplant,Mindanao,2023-12,42.07
Eggplant,Luzon-North,2024-01,48.57
Eggplant,Luzon-Central,2024-01,43.69
Eggplant,Luzon-South,2024-01,53.52
Eggplant,Visayas,2024-01,54.92
Eggplant,Mindanao,2024-01,47.34
Eggplant,Luzon-North,2024-02,47.42
Eggplant,Luzon-Central,2024-02,47.83
Eggplant,Luzon-South,2024-02,50.66
Eggplant,Visayas,2024-02,51.44
Eggplant,Mindanao,2024-02,44.41
Eggplant,Luzon-North,2024-03,44.3
Eggplant,Luzon-Central,2024-03,42.2
Eggplant,Luzon-South,2024-03,51.72
Eggplant,Visayas,2024-03,50.68
Eggplant,Mindanao,2024-03,44.54
Eggplant,Luzon-North,2024-04,49.53
Eggplant,Luzon-Central,2024-04,41.36
Eggplant,Luzon-South,2024-04,47.58
Eggplant,Visayas,2024-04,51.39
Eggplant,Mindanao,2024-04,44.72
Eggplant,Luzon-North,2024-05,47.51
Eggplant,Luzon-Central,2024-05,48.88
Eggplant,Luzon-South,2024-05,51.38
Eggplant,Visayas,2024-05,49.13
Eggplant,Mindanao,2024-05,42.94
Eggplant,Luzon-North,2024-06,52.74
Eggplant,Luzon-Central,2024-06,49.8
Eggplant,Luzon-South,2024-06,48.18
Eggplant,Visayas,2024-06,58.45
Eggplant,Mindanao,2024-06,48.56
Eggplant,Luzon-North,2024-07,56.02
Eggplant,Luzon-Central,2024-07,49.43
Eggplant,Luzon-South,2024-07,54.3
Eggplant,Visayas,2024-07,53.5
Eggplant,Mindanao,2024-07,55.01
Eggplant,Luzon-North,2024-08,54.83
Eggplant,Luzon-Central,2024-08,57.32
Eggplant,Luzon-South,2024-08,56.21
Eggplant,Visayas,2024-08,60.23
Eggplant,Mindanao,2024-08,47.15
Eggplant,Luzon-North,2024-09,55.58
Eggplant,Luzon-Central,2024-09,57.07
Eggplant,Luzon-South,2024-09,55.77
Eggplant,Visayas,2024-09,64.47
Eggplant,Mindanao,2024-09,53.58
Eggplant,Luzon-North,2024-10,52.08
Eggplant,Luzon-Central,2024-10,51.43
Eggplant,Luzon-South,2024-10,56.37
Eggplant,Visayas,2024-10,59.2
Eggplant,Mindanao,2024-10,49.73
Eggplant,Luzon-North,2024-11,50.05
Eggplant,Luzon-Central,2024-11,49.35
Eggplant,Luzon-South,2024-11,52.0
Eggplant,Visayas,2024-11,52.75
Eggplant,Mindanao,2024-11,48.43
Eggplant,Luzon-North,2024-12,53.75
Eggplant,Luzon-Central,2024-12,45.64
Eggplant,Luzon-South,2024-12,54.06
Eggplant,Visayas,2024-12,53.79
Eggplant,Mindanao,2024-12,45.53
Eggplant,Luzon-North,2025-01,53.99
Eggplant,Luzon-Central,2025-01,48.42
Eggplant,Luzon-South,2025-01,58.44
Eggplant,Visayas,2025-01,53.74
Eggplant,Mindanao,2025-01,49.09
Eggplant,Luzon-North,2025-02,51.5
Eggplant,Luzon-Central,2025-02,48.12
Eggplant,Luzon-South,2025-02,56.3
Eggplant,Visayas,2025-02,55.82
Eggplant,Mindanao,2025-02,49.9
Eggplant,Luzon-North,2025-03,50.68
Eggplant,Luzon-Central,2025-03,46.12
Eggplant,Luzon-South,2025-03,53.07
Eggplant,Visayas,2025-03,55.0
Eggplant,Mindanao,2025-03,49.51
Eggplant,Luzon-North,2025-04,48.28
Eggplant,Luzon-Central,2025-04,48.45
Eggplant,Luzon-South,2025-04,48.53
Eggplant,Visayas,2025-04,56.4
Eggplant,Mindanao,2025-04,44.49
Eggplant,Luzon-North,2025-05,47.23
Eggplant,Luzon-Central,2025-05,49.7
Eggplant,Luzon-South,2025-05,57.53
Eggplant,Visayas,2025-05,51.8
Eggplant,Mindanao,2025-05,45.66
Eggplant,Luzon-North,2025-06,52.34
Eggplant,Luzon-Central,2025-06,49.24
Eggplant,Luzon-South,2025-06,58.16
Eggplant,Visayas,2025-06,56.34
Eggplant,Mindanao,2025-06,48.73
Eggplant,Luzon-North,2025-07,57.93
Eggplant,Luzon-Central,2025-07,51.99
Eggplant,Luzon-South,2025-07,60.38
Eggplant,Visayas,2025-07,57.83
Eggplant,Mindanao,2025-07,49.17
Eggplant,Luzon-North,2025-08,53.87
Eggplant,Luzon-Central,2025-08,62.24
Eggplant,Luzon-South,2025-08,61.28
Eggplant,Visayas,2025-08,64.84
Eggplant,Mindanao,2025-08,55.08
Eggplant,Luzon-North,2025-09,61.24
Eggplant,Luzon-Central,2025-09,58.47
Eggplant,Luzon-South,2025-09,69.88
Eggplant,Visayas,2025-09,62.2
Eggplant,Mindanao,2025-09,52.1
Eggplant,Luzon-North,2025-10,55.94
Eggplant,Luzon-Central,2025-10,52.79
Eggplant,Luzon-South,2025-10,64.18
Eggplant,Visayas,2025-10,66.24
Eggplant,Mindanao,2025-10,52.16
Eggplant,Luzon-North,2025-11,52.08
Eggplant,Luzon-Central,2025-11,52.78
Eggplant,Luzon-South,2025-11,62.86
Eggplant,Visayas,2025-11,51.93
Eggplant,Mindanao,2025-11,53.43
Eggplant,Luzon-North,2025-12,52.22
Eggplant,Luzon-Central,2025-12,55.74
Eggplant,Luzon-South,2025-12,54.83
Eggplant,Visayas,2025-12,58.76
Eggplant,Mindanao,2025-12,47.46
Eggplant,Luzon-North,2026-01,52.81
Eggplant,Luzon-Central,2026-01,56.99
Eggplant,Luzon-South,2026-01,60.69
Eggplant,Visayas,2026-01,58.76
Eggplant,Mindanao,2026-01,49.39
Eggplant,Luzon-North,2026-02,50.56
Eggplant,Luzon-Central,2026-02,52.56
Eggplant,Luzon-South,2026-02,58.55
Eggplant,Visayas,2026-02,60.07
Eggplant,Mindanao,2026-02,51.7
Eggplant,Luzon-North,2026-03,51.41
Eggplant,Luzon-Central,2026-03,52.11
Eggplant,Luzon-South,2026-03,57.08
Eggplant,Visayas,2026-03,62.62
Eggplant,Mindanao,2026-03,55.38
Eggplant,Luzon-North,2026-04,53.85
Eggplant,Luzon-Central,2026-04,50.06
Eggplant,Luzon-South,2026-04,56.75
Eggplant,Visayas,2026-04,56.78
Eggplant,Mindanao,2026-04,48.56
Lettuce,Luzon-North,2022-01,71.09
Lettuce,Luzon-Central,2022-01,74.18
Lettuce,Luzon-South,2022-01,78.34
Lettuce,Visayas,2022-01,82.01
Lettuce,Mindanao,2022-01,69.11
Lettuce,Luzon-North,2022-02,72.5
Lettuce,Luzon-Central,2022-02,68.8
Lettuce,Luzon-South,2022-02,78.06
Lettuce,Visayas,2022-02,79.03
Lettuce,Mindanao,2022-02,70.79
Lettuce,Luzon-North,2022-03,73.17
Lettuce,Luzon-Central,2022-03,65.47
Lettuce,Luzon-South,2022-03,77.1
Lettuce,Visayas,2022-03,73.73
Lettuce,Mindanao,2022-03,65.96
Lettuce,Luzon-North,2022-04,71.59
Lettuce,Luzon-Central,2022-04,62.52
Lettuce,Luzon-South,2022-04,76.64
Lettuce,Visayas,2022-04,79.06
Lettuce,Mindanao,2022-04,67.04
Lettuce,Luzon-North,2022-05,72.82
Lettuce,Luzon-Central,2022-05,70.09
Lettuce,Luzon-South,2022-05,74.3
Lettuce,Visayas,2022-05,79.27
Lettuce,Mindanao,2022-05,67.28
Lettuce,Luzon-North,2022-06,78.03
Lettuce,Luzon-Central,2022-06,70.08
Lettuce,Luzon-South,2022-06,82.52
Lettuce,Visayas,2022-06,84.49
Lettuce,Mindanao,2022-06,71.73
Lettuce,Luzon-North,2022-07,78.45
Lettuce,Luzon-Central,2022-07,79.12
Lettuce,Luzon-South,2022-07,77.21
Lettuce,Visayas,2022-07,88.62
Lettuce,Mindanao,2022-07,75.5
Lettuce,Luzon-North,2022-08,85.48
Lettuce,Luzon-Central,2022-08,82.47
Lettuce,Luzon-South,2022-08,85.61
Lettuce,Visayas,2022-08,89.85
Lettuce,Mindanao,2022-08,80.89
Lettuce,Luzon-North,2022-09,87.95
Lettuce,Luzon-Central,2022-09,83.5
Lettuce,Luzon-South,2022-09,83.55
Lettuce,Visayas,2022-09,95.48
Lettuce,Mindanao,2022-09,84.75
Lettuce,Luzon-North,2022-10,87.47
Lettuce,Luzon-Central,2022-10,80.87
Lettuce,Luzon-South,2022-10,80.62
Lettuce,Visayas,2022-10,94.17
Lettuce,Mindanao,2022-10,76.87
Lettuce,Luzon-North,2022-11,68.9
Lettuce,Luzon-Central,2022-11,77.16
Lettuce,Luzon-South,2022-11,76.66
Lettuce,Visayas,2022-11,79.68
Lettuce,Mindanao,2022-11,71.04
Lettuce,Luzon-North,2022-12,82.52
Lettuce,Luzon-Central,2022-12,73.1
Lettuce,Luzon-South,2022-12,82.56
Lettuce,Visayas,2022-12,91.11
Lettuce,Mindanao,2022-12,77.9
Lettuce,Luzon-North,2023-01,77.42
Lettuce,Luzon-Central,2023-01,73.81
Lettuce,Luzon-South,2023-01,76.56
Lettuce,Visayas,2023-01,81.13
Lettuce,Mindanao,2023-01,73.92
Lettuce,Luzon-North,2023-02,79.61
Lettuce,Luzon-Central,2023-02,75.36
Lettuce,Luzon-South,2023-02,86.05
Lettuce,Visayas,2023-02,81.06
Lettuce,Mindanao,2023-02,72.4
Lettuce,Luzon-North,2023-03,78.72
Lettuce,Luzon-Central,2023-03,75.03
Lettuce,Luzon-South,2023-03,84.01
Lettuce,Visayas,2023-03,83.65
Lettuce,Mindanao,2023-03,69.53
Lettuce,Luzon-North,2023-04,76.76
Lettuce,Luzon-Central,2023-04,68.75
Lettuce,Luzon-South,2023-04,72.68
Lettuce,Visayas,2023-04,83.79
Lettuce,Mindanao,2023-04,69.92
Lettuce,Luzon-North,2023-05,78.39
Lettuce,Luzon-Central,2023-05,67.82
Lettuce,Luzon-South,2023-05,79.58
Lettuce,Visayas,2023-05,80.88
Lettuce,Mindanao,2023-05,68.69
Lettuce,Luzon-North,2023-06,71.52
Lettuce,Luzon-Central,2023-06,76.08
Lettuce,Luzon-South,2023-06,88.43
Lettuce,Visayas,2023-06,88.71
Lettuce,Mindanao,2023-06,72.71
Lettuce,Luzon-North,2023-07,83.16
Lettuce,Luzon-Central,2023-07,82.92
Lettuce,Luzon-South,2023-07,75.33
Lettuce,Visayas,2023-07,89.33
Lettuce,Mindanao,2023-07,79.5
Lettuce,Luzon-North,2023-08,90.45
Lettuce,Luzon-Central,2023-08,91.11
Lettuce,Luzon-South,2023-08,97.05
Lettuce,Visayas,2023-08,95.94
Lettuce,Mindanao,2023-08,82.57
Lettuce,Luzon-North,2023-09,92.85
Lettuce,Luzon-Central,2023-09,83.45
Lettuce,Luzon-South,2023-09,93.61
Lettuce,Visayas,2023-09,100.85
Lettuce,Mindanao,2023-09,91.21
Lettuce,Luzon-North,2023-10,85.72
Lettuce,Luzon-Central,2023-10,82.75
Lettuce,Luzon-South,2023-10,91.63
Lettuce,Visayas,2023-10,99.59
Lettuce,Mindanao,2023-10,80.24
Lettuce,Luzon-North,2023-11,87.88
Lettuce,Luzon-Central,2023-11,74.79
Lettuce,Luzon-South,2023-11,85.16
Lettuce,Visayas,2023-11,87.54
Lettuce,Mindanao,2023-11,79.13
Lettuce,Luzon-North,2023-12,84.71
Lettuce,Luzon-Central,2023-12,71.45
Lettuce,Luzon-South,2023-12,80.66
Lettuce,Visayas,2023-12,88.41
Lettuce,Mindanao,2023-12,72.4
Lettuce,Luzon-North,2024-01,74.61
Lettuce,Luzon-Central,2024-01,81.55
Lettuce,Luzon-South,2024-01,86.89
Lettuce,Visayas,2024-01,89.37
Lettuce,Mindanao,2024-01,73.32
Lettuce,Luzon-North,2024-02,85.18
Lettuce,Luzon-Central,2024-02,76.83
Lettuce,Luzon-South,2024-02,89.72
Lettuce,Visayas,2024-02,83.5
Lettuce,Mindanao,2024-02,72.12
Lettuce,Luzon-North,2024-03,79.62
Lettuce,Luzon-Central,2024-03,73.0
Lettuce,Luzon-South,2024-03,85.54
Lettuce,Visayas,2024-03,86.22
Lettuce,Mindanao,2024-03,69.91
Lettuce,Luzon-North,2024-04,78.53
Lettuce,Luzon-Central,2024-04,73.79
Lettuce,Luzon-South,2024-04,85.92
